frame,mother,patient,therapist
305,0.000251423,0.0246697,0.00373715
306,0.00122502,0.0274458,0.00329225
307,0.00239119,0.0296133,0.00280287
308,0.00318826,0.0301329,0.00320327
309,0.00280845,0.0280406,0.00302531
310,0.00205418,0.0276851,0.00498287
311,0.00113943,0.0307278,0.00280287
312,0.000139085,0.0291415,0.00320327
313,6.95425e-05,0.0264065,0.00249144
314,0.000112338,0.022304,0.00387062
315,5.34942e-05,0.0152203,0.00413756
316,4.81448e-05,0.00685119,0.00373715
317,3.20965e-05,0.0043555,0.00355919
318,0.000160483,0.00408883,0.0039596
319,0.00018188,0.00672128,0.00320327
320,0.000267471,0.00414353,0.00311429
321,0.000497496,0.00419823,0.00315878
322,0.000604485,0.00808194,0.00315878
323,0.000599136,0.0109674,0.0044045
324,0.000176531,0.00698794,0.00333674
325,3.7446e-05,0.00276919,0.00213552
326,2.67471e-05,0.00472472,0.00467144
327,0,0.00317261,0.00409307
328,5.34942e-06,0.0023521,0.00275838
329,0,0.00151109,0.00373715
330,0,0.00113503,0.00382613
331,0,0.000581189,0.00324776
332,1.60483e-05,0.000970927,0.00284736
333,0.000112338,0.00106665,0.00249144
334,0.000358411,0.000505976,0.00284736
335,0.00027817,0.000157263,0.0044045
336,0.000149784,7.52126e-05,0.00280287
337,0.000133736,0.000211963,0.0017796
338,0.000144434,0.00178459,0.00364817
339,0.000155133,0.00478626,0.0026694
340,0.000609834,0.00934688,0.00413756
341,0.000160483,0.0151793,0.00418205
342,5.34942e-06,0.0207997,0.00378164
343,1.06988e-05,0.0251347,0.00258042
344,0.000294218,0.0261261,0.00453797
345,8.02414e-05,0.0228373,0.00311429
346,2.13977e-05,0.0182288,0.00284736
347,3.20965e-05,0.0104682,0.00400409
348,3.7446e-05,0.0067076,0.00275838
349,0.000155133,0.0102221,0.00226899
350,0.000379809,0.0140032,0.00422654
351,0.000219326,0.0174767,0.00458246
352,0.000417255,0.0142152,0.00271389
353,0.00104849,0.00562727,0.0039596
354,0.00092545,0.011952,0.00391511
355,0.000417255,0.0115964,0.00453797
356,0.000422605,0.0103315,0.00302531
357,0.000855908,0.00649564,0.00347021
358,0.00148714,0.00579137,0.0035147
359,0.0014176,0.0103041,0.00476042
360,0.000572388,0.013928,0.00382613
361,0.000149784,0.0214493,0.00231348
362,0.000165832,0.0261056,0.00493838
363,5.88437e-05,0.0246971,0.00329225
364,4.27954e-05,0.0223997,0.00244695
365,1.60483e-05,0.0165331,0.00320327
366,5.34942e-06,0.00936056,0.0035147
367,5.34942e-05,0.00377431,0.00275838
368,2.67471e-05,0.00245467,0.00204654
369,5.34942e-06,0.00203758,0.00231348
370,1.06988e-05,0.00293329,0.00378164
371,7.48919e-05,0.00646145,0.00418205
372,8.55908e-05,0.00658453,0.00333674
373,1.06988e-05,0.00432131,0.00182409
374,0.00018723,0.00161365,0.00333674
375,5.34942e-06,0.00172305,0.00293633
376,5.34942e-06,0.00303586,0.00298082
377,5.34942e-06,0.00208544,0.00355919
378,2.13977e-05,0.000369226,0.00298082
379,1.60483e-05,0.000307688,0.00258042
380,2.13977e-05,0.00121024,0.00355919
381,1.60483e-05,0.000560676,0.00302531
382,0,0.0001641,0.0035147
383,1.06988e-05,0.00111451,0.00436001
384,0,0.00106665,0.00329225
385,5.34942e-06,0.000567514,0.00253593
386,1.60483e-05,0.000779477,0.00342572
387,5.34942e-06,0.00107349,0.00315878
388,5.34942e-06,0.00170938,0.0039596
389,1.60483e-05,0.00118973,0.00409307
390,5.34942e-06,0.000895714,0.00338123
391,5.34942e-06,0.00128545,0.00289184
392,5.34942e-06,0.0011487,0.00280287
393,1.06988e-05,0.000574351,0.00329225
394,0,0.00177092,0.00280287
395,0,0.00209912,0.00391511
396,5.34942e-06,0.000629051,0.00320327
397,5.34942e-06,0.000143588,0.00240246
398,0,0.00123759,0.0035147
399,5.34942e-06,0.0012581,0.00355919
400,5.34942e-06,0.000690589,0.00320327
401,1.60483e-05,0.000225638,0.00413756
402,1.60483e-05,0.000752126,0.00360368
403,0,0.00151109,0.00280287
404,5.34942e-06,0.00242048,0.00249144
405,1.06988e-05,0.00177775,0.00244695
406,0,0.00118973,0.00249144
407,0,0.00173673,0.0039596
408,0,0.00116921,0.00240246
409,1.06988e-05,0.000704264,0.00298082
410,1.06988e-05,0.000820502,0.00373715
411,5.34942e-06,0.000157263,0.00320327
412,1.06988e-05,0.000170938,0.00378164
413,5.34942e-06,0.000287176,0.00431552
414,1.06988e-05,0.000547001,0.00404858
415,0,0.000170938,0.00320327
416,5.34942e-06,0.000341876,0.00333674
417,1.06988e-05,8.88877e-05,0.0026694
418,1.06988e-05,0.0001641,0.00280287
419,0,0.000184613,0.0048494
420,1.06988e-05,2.73501e-05,0.00329225
421,0,8.88877e-05,0.00235797
422,5.34942e-06,0.000116238,0.00347021
423,0,0.000287176,0.00329225
424,1.06988e-05,0.000731614,0.00391511
