frame,patient,mother,therapist
318,0.00201824,2.54737e-05,0.00278006
319,0.00130664,6.36841e-06,0.00241546
320,0.00212253,3.18421e-05,0.003965
321,0.00311632,0,0.00391942
322,0.0033801,3.18421e-05,0.00382827
323,0.00275438,1.27368e-05,0.003965
324,0.00189555,1.27368e-05,0.00246103
325,0.00103673,6.36841e-06,0.0030535
326,0.000650255,2.54737e-05,0.0043296
327,7.97482e-05,1.91052e-05,0.00469419
328,0.000938575,2.54737e-05,0.00369155
329,0.00180354,3.82105e-05,0.00259776
330,0.00163791,1.27368e-05,0.00410172
331,0.00220228,3.18421e-05,0.0034181
332,0.00303657,1.27368e-05,0.00464862
333,0.00280959,6.36841e-06,0.00446632
334,0.00206119,1.91052e-05,0.00364598
335,0.00332489,1.91052e-05,0.00391942
336,0.00484624,0,0.00205086
337,0.00372976,1.91052e-05,0.00273448
338,0.0019385,3.82105e-05,0.00451189
339,0.00157656,6.36841e-06,0.00410172
340,0.00238018,1.91052e-05,0.00319023
341,0.00435548,1.27368e-05,0.00259776
342,0.00333102,1.27368e-05,0.00287121
343,0.00234951,6.36841e-06,0.00296236
344,0.00359481,6.36841e-05,0.00419287
345,0.00495053,1.27368e-05,0.003965
346,0.00520817,2.54737e-05,0.00387385
347,0.00598725,1.91052e-05,0.00446632
348,0.0056928,0,0.00300793
349,0.00570507,6.36841e-06,0.00259776
350,0.00567439,1.91052e-05,0.0043296
351,0.00361934,6.36841e-06,0.00419287
352,0.00335556,6.36841e-06,0.00332695
353,0.00471128,6.36841e-06,0.00364598
354,0.00522044,2.54737e-05,0.0043296
355,0.00635532,0,0.00250661
356,0.00718961,1.27368e-05,0.00332695
357,0.00596885,6.36841e-06,0.00309908
358,0.00413464,1.27368e-05,0.0036004
359,0.00114101,6.36841e-06,0.00496764
360,0.000846558,1.27368e-05,0.00232431
361,0.000239245,6.36841e-06,0.0030535
362,0.0005337,1.91052e-05,0.003965
363,0.000386472,1.27368e-05,0.003965
364,0.000564372,1.91052e-05,0.00419287
365,0.000914038,4.45789e-05,0.00369155
