"","video","frame_index","slidedPatient","slidedTherapist"
"283","F1044H2",283,1.627534e-05,0.00624256015
"284","F1044H2",284,2.501908e-05,0.00697267415
"285","F1044H2",285,3.376282e-05,0.00782899415
"286","F1044H2",286,5.12503e-05,0.00853206615
"287","F1044H2",287,6.436592e-05,0.00964077615
"288","F1044H2",288,5.999406e-05,0.01105595615
"289","F1044H2",289,0.00016491892,0.01193031615
"290","F1044H2",290,0.00038788518,0.01302100215
"291","F1044H2",291,0.0004184883,0.01229088815
"292","F1044H2",292,0.00041411642,0.01111006815
"293","F1044H2",293,0.00040974454,0.00990220815
"294","F1044H2",294,0.00030481968,0.00823463615
"295","F1044H2",295,7.310968e-05,0.00609834015
"296","F1044H2",296,3.376282e-05,0.00604425615
"297","F1044H2",297,2.501908e-05,0.00589102015
"298","F1044H2",298,2.501908e-05,0.00498963215
"299","F1044H2",299,1.627534e-05,0.00476428415
"300","F1044H2",300,2.064722e-05,0.00488146415
"301","F1044H2",301,1.190348e-05,0.00434964615
"302","F1044H2",302,1.190348e-05,0.00452992415
"303","F1044H2",303,2.939096e-05,0.00487245215
"304","F1044H2",304,2.939096e-05,0.00491752215
"305","F1044H2",305,3.376282e-05,0.00503470215
"306","F1044H2",306,4.250656e-05,0.00501667415
"307","F1044H2",307,5.999404e-05,0.00490850615
"308","F1044H2",308,4.687844e-05,0.00562961615
"309","F1044H2",309,5.562218e-05,0.00558454615
"310","F1044H2",310,5.125032e-05,0.00544032415
"311","F1044H2",311,4.250658e-05,0.00589101815
"312","F1044H2",312,2.50191e-05,0.00753154415
"313","F1044H2",313,2.939096e-05,0.00972191415
"314","F1044H2",314,3.81347e-05,0.01342661415
"315","F1044H2",315,3.376282e-05,0.01739271215
"316","F1044H2",316,4.250656e-05,0.02153910215
"317","F1044H2",317,4.250656e-05,0.02537000215
"318","F1044H2",318,3.376282e-05,0.02818234215
"319","F1044H2",319,2.501908e-05,0.02855192215
"320","F1044H2",320,2.501908e-05,0.02747928215
"321","F1044H2",321,2.064722e-05,0.02379260015
"322","F1044H2",322,2.50191e-05,0.01845638215
"323","F1044H2",323,2.50191e-05,0.01274157615
"324","F1044H2",324,1.627536e-05,0.00897376815
"325","F1044H2",325,1.627536e-05,0.00628763015
"326","F1044H2",326,1.627536e-05,0.00605326815
"327","F1044H2",327,1.627536e-05,0.00607129615
"328","F1044H2",328,1.627536e-05,0.00629664215
"329","F1044H2",329,1.627536e-05,0.00624256015
"330","F1044H2",330,1.627536e-05,0.00617946215
"331","F1044H2",331,2.064722e-05,0.00563863015
"332","F1044H2",332,2.064722e-05,0.00590904815
"333","F1044H2",333,2.939096e-05,0.00614341015
"334","F1044H2",334,4.250658e-05,0.00646791015
"335","F1044H2",335,9.934098e-05,0.00736028415
"336","F1044H2",336,9.059724e-05,0.00839688015
"337","F1044H2",337,9.49691e-05,0.00914503215
"338","F1044H2",338,0.00013431596,0.01019065015
"339","F1044H2",339,0.00013868782,0.01041599615
"340","F1044H2",340,8.185342e-05,0.00934334415
"341","F1044H2",341,9.059716e-05,0.00928926015
"342","F1044H2",342,0.00010808462,0.00997432015
"343","F1044H2",343,8.185342e-05,0.01025374015
"344","F1044H2",344,0.00019989394,0.01197538415
"345","F1044H2",345,0.00036165314,0.01366999815
"346","F1044H2",346,0.0005452718,0.01375112215
"347","F1044H2",347,0.0006545686,0.01280465815
"348","F1044H2",348,0.00064582482,0.01154271615
"349","F1044H2",349,0.00051029682,0.00907292015
"350","F1044H2",350,0.00037476882,0.00841490215
"351","F1044H2",351,0.0001867783,0.00745943215
"352","F1044H2",352,5.12503e-05,0.00689155815
"353","F1044H2",353,3.813468e-05,0.00749548015
"354","F1044H2",354,3.813468e-05,0.00793716015
"355","F1044H2",355,2.064722e-05,0.00741435615
"356","F1044H2",356,2.501908e-05,0.00882952615
"357","F1044H2",357,2.501908e-05,0.00927120615
"358","F1044H2",358,2.501908e-05,0.00925318615
"359","F1044H2",359,2.501908e-05,0.01056922215
"360","F1044H2",360,1.627534e-05,0.01185820415
"361","F1044H2",361,7.5316e-06,0.01230890415
"362","F1044H2",362,7.5316e-06,0.01293988215
"363","F1044H2",363,1.190348e-05,0.01314720215
"364","F1044H2",364,1.190348e-05,0.01211059615
"365","F1044H2",365,1.627536e-05,0.01092978015
"366","F1044H2",366,1.627536e-05,0.00935235415
"367","F1044H2",367,1.627536e-05,0.00798223815
"368","F1044H2",368,1.190348e-05,0.00754957215
"369","F1044H2",369,1.627536e-05,0.00735126815
"370","F1044H2",370,2.064722e-05,0.00740535215
"371","F1044H2",371,2.064722e-05,0.00725211615
"372","F1044H2",372,2.064722e-05,0.00718000615
"373","F1044H2",373,2.064722e-05,0.00654903415
"374","F1044H2",374,1.627534e-05,0.00620650615
"375","F1044H2",375,2.064722e-05,0.00558454815
"376","F1044H2",376,2.064722e-05,0.00544934015
"377","F1044H2",377,2.064722e-05,0.00551243615
"378","F1044H2",378,3.376284e-05,0.00519695015
"379","F1044H2",379,3.813472e-05,0.00495357415
"380","F1044H2",380,2.50191e-05,0.00526906015
"381","F1044H2",381,2.50191e-05,0.00503470015
"382","F1044H2",382,2.939098e-05,0.00495357615
"383","F1044H2",383,2.939098e-05,0.00462907615
"384","F1044H2",384,2.50191e-05,0.00442175815
"385","F1044H2",385,2.50191e-05,0.00404317415
"386","F1044H2",386,3.376284e-05,0.00458400615
"387","F1044H2",387,2.939096e-05,0.00462006015
"388","F1044H2",388,2.501908e-05,0.00539525415
"389","F1044H2",389,2.939096e-05,0.00572876815
"390","F1044H2",390,2.939096e-05,0.00565665815
"391","F1044H2",391,4.687842e-05,0.00524202015
"392","F1044H2",392,6.43659e-05,0.00558454815
"393","F1044H2",393,5.562216e-05,0.00529610415
"394","F1044H2",394,5.125028e-05,0.00514286815
"395","F1044H2",395,5.125028e-05,0.00518793615
"396","F1044H2",396,2.501908e-05,0.00509779615
"397","F1044H2",397,1.627534e-05,0.00469217215
"398","F1044H2",398,1.627534e-05,0.00498061615
"399","F1044H2",399,1.627534e-05,0.00516089215
"400","F1044H2",400,1.627534e-05,0.00544933815
"401","F1044H2",401,1.627534e-05,0.00572877015
"402","F1044H2",402,7.5316e-06,0.00581890815
"403","F1044H2",403,1.190348e-05,0.00556652015
"404","F1044H2",404,1.627536e-05,0.00563863215
"405","F1044H2",405,1.627536e-05,0.00535018615
"406","F1044H2",406,1.627536e-05,0.00516990815
"407","F1044H2",407,1.627536e-05,0.00481836815
"408","F1044H2",408,1.190348e-05,0.00452091015
"409","F1044H2",409,7.5316e-06,0.00416936815
"410","F1044H2",410,1.627534e-05,0.00470118815
"411","F1044H2",411,1.627534e-05,0.00490850615
"412","F1044H2",412,2.064722e-05,0.00535018615
"413","F1044H2",413,2.064722e-05,0.00535018615
"414","F1044H2",414,2.064722e-05,0.00556652015
"415","F1044H2",415,2.939096e-05,0.00509779815
"416","F1044H2",416,2.939096e-05,0.00514286815
"417","F1044H2",417,2.501908e-05,0.00493554815
"418","F1044H2",418,2.501908e-05,0.00510681015
"419","F1044H2",419,2.501908e-05,0.00513385215
"420","F1044H2",420,7.5316e-06,0.00517892215
"421","F1044H2",421,1.190348e-05,0.00531413015
"422","F1044H2",422,1.190348e-05,0.00664818815
"423","F1044H2",423,1.627536e-05,0.00687353615
"424","F1044H2",424,1.627536e-05,0.00681043815
"425","F1044H2",425,1.627536e-05,0.00699071615
"426","F1044H2",426,2.064722e-05,0.00651298015
"427","F1044H2",427,2.50191e-05,0.00513385215
"428","F1044H2",428,2.064722e-05,0.00630565815
"429","F1044H2",429,2.064722e-05,0.00711690815
"430","F1044H2",430,2.50191e-05,0.00703578215
"431","F1044H2",431,1.627536e-05,0.00696367215
"432","F1044H2",432,1.190348e-05,0.00718902015
"433","F1044H2",433,1.190348e-05,0.00604425615
"434","F1044H2",434,1.190348e-05,0.00632367615
"435","F1044H2",435,7.5316e-06,0.00651296815
"436","F1044H2",436,7.5316e-06,0.00704478615
"437","F1044H2",437,7.5316e-06,0.00692760615
"438","F1044H2",438,2.064722e-05,0.00673831415
"439","F1044H2",439,2.50191e-05,0.00564764415
"440","F1044H2",440,2.50191e-05,0.00602622615
"441","F1044H2",441,2.50191e-05,0.00641382415
"442","F1044H2",442,2.50191e-05,0.00691860015
"443","F1044H2",443,1.627536e-05,0.00712592015
"444","F1044H2",444,1.190348e-05,0.00694564215
"445","F1044H2",445,1.190348e-05,0.00635072615
"446","F1044H2",446,1.190348e-05,0.00621551815
"447","F1044H2",447,1.190348e-05,0.00630565815
"448","F1044H2",448,7.5316e-06,0.00644988015
"449","F1044H2",449,7.5316e-06,0.00696367215
"450","F1044H2",450,7.5316e-06,0.00679240815
"451","F1044H2",451,1.190348e-05,0.00631467215
"452","F1044H2",452,1.190348e-05,0.00607129615
"453","F1044H2",453,2.064722e-05,0.00541328215
"454","F1044H2",454,2.064722e-05,0.00475526815
"455","F1044H2",455,2.064722e-05,0.00473724215
"456","F1044H2",456,1.627534e-05,0.00451189415
"457","F1044H2",457,1.627534e-05,0.00425950615
"458","F1044H2",458,1.627534e-05,0.00505272815
"459","F1044H2",459,1.627534e-05,0.00533215815
"460","F1044H2",460,1.627534e-05,0.00553046215
"461","F1044H2",461,2.064722e-05,0.00532314415
"462","F1044H2",462,2.064722e-05,0.00527807415
"463","F1044H2",463,1.190348e-05,0.00458400415
"464","F1044H2",464,1.627536e-05,0.00500765815
"465","F1044H2",465,1.627536e-05,0.00493554815
"466","F1044H2",466,1.190348e-05,0.00506174215
"467","F1044H2",467,1.190348e-05,0.00483639615
"468","F1044H2",468,1.190348e-05,0.00489949415
"469","F1044H2",469,7.5316e-06,0.00446682615
"470","F1044H2",470,7.5316e-06,0.00516089415
"471","F1044H2",471,7.5316e-06,0.00537722615
"472","F1044H2",472,7.5316e-06,0.00557553015
"473","F1044H2",473,7.5316e-06,0.00553947415
"474","F1044H2",474,7.5316e-06,0.00556651615
"475","F1044H2",475,7.5316e-06,0.00486343415
"476","F1044H2",476,7.5316e-06,0.00522399015
"477","F1044H2",477,7.5316e-06,0.00522399015
"478","F1044H2",478,7.5316e-06,0.00517892215
"479","F1044H2",479,7.5316e-06,0.00485442215
"480","F1044H2",480,7.5316e-06,0.00478231015
"481","F1044H2",481,1.190348e-05,0.00460203215
"482","F1044H2",482,1.190348e-05,0.00474625415
"483","F1044H2",483,1.190348e-05,0.00490850215
"484","F1044H2",484,1.190348e-05,0.00512483615
"485","F1044H2",485,1.190348e-05,0.00515187815
"486","F1044H2",486,7.5316e-06,0.00506174015
"487","F1044H2",487,1.190348e-05,0.00477329615
"488","F1044H2",488,2.064722e-05,0.00535018615
"489","F1044H2",489,3.376284e-05,0.00544933815
"490","F1044H2",490,4.250658e-05,0.00525103215
"491","F1044H2",491,5.56222e-05,0.00496258815
"492","F1044H2",492,5.125032e-05,0.00498061615
"493","F1044H2",493,4.250658e-05,0.00416035215
"494","F1044H2",494,4.250658e-05,0.00445781015
"495","F1044H2",495,3.376284e-05,0.00476428215
"496","F1044H2",496,2.064722e-05,0.00484540615
"497","F1044H2",497,2.064722e-05,0.00496258615
"498","F1044H2",498,2.50191e-05,0.00525103015
"499","F1044H2",499,1.190348e-05,0.00484540615
"500","F1044H2",500,1.627536e-05,0.00527807415
"501","F1044H2",501,1.627536e-05,0.00537722815
"502","F1044H2",502,2.064724e-05,0.00512484015
"503","F1044H2",503,3.813476e-05,0.00507075815
"504","F1044H2",504,3.813476e-05,0.00504371615
"505","F1044H2",505,3.813476e-05,0.00453893815
"506","F1044H2",506,3.813476e-05,0.00491752015
"507","F1044H2",507,3.376288e-05,0.00498061815
"508","F1044H2",508,1.190348e-05,0.00516990815
